Price,Close,High,Low,Open,Volume
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS
Date,,,,,
2018-04-16,1105.1768798828125,1114.2238189281525,1082.8174260513388,1087.5049473762363,550645
2018-04-17,1102.5052490234375,1113.1928227951205,1095.9427177792504,1106.2552668772587,432543
2018-04-18,1099.03662109375,1110.9428830084755,1095.0053057838813,1105.3178557527362,465763
2018-04-19,1092.1927490234375,1112.8178481466268,1089.942715321705,1098.7552805626342,620949
2018-04-20,1086.8956298828125,1093.0831356168453,1070.8643286132672,1092.1925522735444,727517
2018-04-23,1105.036376953125,1107.5677074669582,1073.8175494808129,1088.3488675026254,554353
2018-04-24,1096.9736328125,1108.5517867021858,1089.2861442101757,1103.9111867256436,484112
2018-04-25,1090.3643798828125,1095.7550294001255,1083.8018500356488,1094.067475948565,280574
2018-04-26,1083.473876953125,1103.4896890655068,1077.7083159798729,1091.255209879193,1638937
2018-04-27,1107.755126953125,1124.161453224473,1091.4894492238213,1092.426953582184,803227
2018-04-30,1126.59912109375,1131.567940761003,1108.505352760547,1115.3490670016772,505974
2018-05-02,1145.9117431640625,1153.6929614895444,1122.5678593046923,1125.239724117909,2011978
2018-05-03,1131.3333740234375,1153.130350154405,1125.942724012553,1144.03660373871,641515
2018-05-04,1116.05224609375,1136.2555149286836,1104.4740877861955,1136.2555149286836,743905
2018-05-07,1139.3023681640625,1144.5055640277194,1106.2553338272733,1117.5053880695846,728801
2018-05-08,1134.2867431640625,1147.5055340255728,1129.6929481215811,1142.8180114192594,627060
2018-05-09,1146.1461181640625,1152.2867036844032,1122.7553133280123,1122.7553133280123,729538
2018-05-10,1141.599365234375,1160.6307553843967,1132.0368635918085,1155.0057274907729,1904962
2018-05-11,1206.052490234375,1211.1619578819211,1152.9897640549057,1159.6929434067035,4723019
2018-05-14,1216.271240234375,1223.4431713686186,1189.3179902904303,1204.6930844510919,1553283
2018-05-15,1232.4903564453125,1240.7403276658,1208.2558871703322,1210.3183513650863,1368261
2018-05-16,1240.9742431640625,1248.7555736714698,1219.5522954379392,1223.5836092075942,736281
2018-05-17,1227.614990234375,1246.8807498526617,1222.0838062806663,1231.0838248950731,751423
2018-05-18,1226.5836181640625,1234.1305728797356,1207.1304056812894,1223.4430019286242,939743
2018-05-21,1220.349609375,1232.5371683493954,1210.1777080423565,1223.4434201220122,692442
